"No.","Time","Source","Destination","Protocol","Length","Info"
"37","6.478072","2.4.1","host","USB","72","URB_INTERRUPT in"
"39","6.757969","2.4.1","host","USB","72","URB_INTERRUPT in"
"41","8.486094","2.4.1","host","USB","72","URB_INTERRUPT in"
"43","8.686108","2.4.1","host","USB","72","URB_INTERRUPT in"
"45","9.358042","2.4.1","host","USB","72","URB_INTERRUPT in"
"47","9.534117","2.4.1","host","USB","72","URB_INTERRUPT in"
"49","10.086104","2.4.1","host","USB","72","URB_INTERRUPT in"
"51","10.270111","2.4.1","host","USB","72","URB_INTERRUPT in"
"53","10.870131","2.4.1","host","USB","72","URB_INTERRUPT in"
"55","11.054184","2.4.1","host","USB","72","URB_INTERRUPT in"
"57","11.582151","2.4.1","host","USB","72","URB_INTERRUPT in"
"59","11.758187","2.4.1","host","USB","72","URB_INTERRUPT in"
"61","12.198220","2.4.1","host","USB","72","URB_INTERRUPT in"
"63","12.358124","2.4.1","host","USB","72","URB_INTERRUPT in"
"65","12.870191","2.4.1","host","USB","72","URB_INTERRUPT in"
"67","13.022192","2.4.1","host","USB","72","URB_INTERRUPT in"
"69","13.566215","2.4.1","host","USB","72","URB_INTERRUPT in"
"71","13.750264","2.4.1","host","USB","72","URB_INTERRUPT in"
"73","18.574373","2.4.1","host","USB","72","URB_INTERRUPT in"
"75","19.054461","2.4.1","host","USB","72","URB_INTERRUPT in"
"77","19.270353","2.4.1","host","USB","72","URB_INTERRUPT in"
"79","19.318393","2.4.1","host","USB","72","URB_INTERRUPT in"
"81","22.254565","2.4.1","host","USB","72","URB_INTERRUPT in"
"83","22.382455","2.4.1","host","USB","72","URB_INTERRUPT in"
"85","27.942663","2.4.1","host","USB","72","URB_INTERRUPT in"
"87","28.446764","2.4.1","host","USB","72","URB_INTERRUPT in"
"89","28.662684","2.4.1","host","USB","72","URB_INTERRUPT in"
"91","28.766688","2.4.1","host","USB","72","URB_INTERRUPT in"
"93","32.854921","2.4.1","host","USB","72","URB_INTERRUPT in"
"95","33.022805","2.4.1","host","USB","72","URB_INTERRUPT in"
"97","33.454871","2.4.1","host","USB","72","URB_INTERRUPT in"
"99","33.662803","2.4.1","host","USB","72","URB_INTERRUPT in"
"101","34.366870","2.4.1","host","USB","72","URB_INTERRUPT in"
"103","34.782842","2.4.1","host","USB","72","URB_INTERRUPT in"
"105","34.990842","2.4.1","host","USB","72","URB_INTERRUPT in"
"107","35.054878","2.4.1","host","USB","72","URB_INTERRUPT in"
"109","38.646999","2.4.1","host","USB","72","URB_INTERRUPT in"
"111","38.847029","2.4.1","host","USB","72","URB_INTERRUPT in"
"113","41.311111","2.4.1","host","USB","72","URB_INTERRUPT in"
"115","41.719092","2.4.1","host","USB","72","URB_INTERRUPT in"
"117","41.919062","2.4.1","host","USB","72","URB_INTERRUPT in"
"119","42.007130","2.4.1","host","USB","72","URB_INTERRUPT in"
"121","44.583148","2.4.1","host","USB","72","URB_INTERRUPT in"
"123","44.767236","2.4.1","host","USB","72","URB_INTERRUPT in"
"125","45.511295","2.4.1","host","USB","72","URB_INTERRUPT in"
"127","45.711174","2.4.1","host","USB","72","URB_INTERRUPT in"
"129","47.111283","2.4.1","host","USB","72","URB_INTERRUPT in"
"133","47.335320","2.4.1","host","USB","72","URB_INTERRUPT in"
"135","48.415247","2.4.1","host","USB","72","URB_INTERRUPT in"
"137","48.599352","2.4.1","host","USB","72","URB_INTERRUPT in"
"139","50.583415","2.4.1","host","USB","72","URB_INTERRUPT in"
"141","50.735418","2.4.1","host","USB","72","URB_INTERRUPT in"
"145","50.935381","2.4.1","host","USB","72","URB_INTERRUPT in"
"147","51.191425","2.4.1","host","USB","72","URB_INTERRUPT in"
"149","53.591463","2.4.1","host","USB","72","URB_INTERRUPT in"
"151","53.775472","2.4.1","host","USB","72","URB_INTERRUPT in"
"153","56.703513","2.4.1","host","USB","72","URB_INTERRUPT in"
"155","56.943614","2.4.1","host","USB","72","URB_INTERRUPT in"
"157","57.159577","2.4.1","host","USB","72","URB_INTERRUPT in"
"159","59.815706","2.4.1","host","USB","72","URB_INTERRUPT in"
"161","60.063718","2.4.1","host","USB","72","URB_INTERRUPT in"
"163","60.263673","2.4.1","host","USB","72","URB_INTERRUPT in"
"165","60.303670","2.4.1","host","USB","72","URB_INTERRUPT in"
