"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","2.4.1","host","USB","72","URB_INTERRUPT in"
"2","0.279897","2.4.1","host","USB","72","URB_INTERRUPT in"
"3","2.008022","2.4.1","host","USB","72","URB_INTERRUPT in"
"4","2.208036","2.4.1","host","USB","72","URB_INTERRUPT in"
"5","2.879970","2.4.1","host","USB","72","URB_INTERRUPT in"
"6","3.056045","2.4.1","host","USB","72","URB_INTERRUPT in"
"7","3.608032","2.4.1","host","USB","72","URB_INTERRUPT in"
"8","3.792039","2.4.1","host","USB","72","URB_INTERRUPT in"
"9","4.392059","2.4.1","host","USB","72","URB_INTERRUPT in"
"10","4.576112","2.4.1","host","USB","72","URB_INTERRUPT in"
"11","5.104079","2.4.1","host","USB","72","URB_INTERRUPT in"
"12","5.280115","2.4.1","host","USB","72","URB_INTERRUPT in"
"13","5.720148","2.4.1","host","USB","72","URB_INTERRUPT in"
"14","5.880052","2.4.1","host","USB","72","URB_INTERRUPT in"
"15","6.392119","2.4.1","host","USB","72","URB_INTERRUPT in"
"16","6.544120","2.4.1","host","USB","72","URB_INTERRUPT in"
"17","7.088143","2.4.1","host","USB","72","URB_INTERRUPT in"
"18","7.272192","2.4.1","host","USB","72","URB_INTERRUPT in"
"19","12.096301","2.4.1","host","USB","72","URB_INTERRUPT in"
"20","12.576389","2.4.1","host","USB","72","URB_INTERRUPT in"
"21","12.792281","2.4.1","host","USB","72","URB_INTERRUPT in"
"22","12.840321","2.4.1","host","USB","72","URB_INTERRUPT in"
"23","15.776493","2.4.1","host","USB","72","URB_INTERRUPT in"
"24","15.904383","2.4.1","host","USB","72","URB_INTERRUPT in"
"25","21.464591","2.4.1","host","USB","72","URB_INTERRUPT in"
"26","21.968692","2.4.1","host","USB","72","URB_INTERRUPT in"
"27","22.184612","2.4.1","host","USB","72","URB_INTERRUPT in"
"28","22.288616","2.4.1","host","USB","72","URB_INTERRUPT in"
"29","26.376849","2.4.1","host","USB","72","URB_INTERRUPT in"
"30","26.544733","2.4.1","host","USB","72","URB_INTERRUPT in"
"31","26.976799","2.4.1","host","USB","72","URB_INTERRUPT in"
"32","27.184731","2.4.1","host","USB","72","URB_INTERRUPT in"
"33","27.888798","2.4.1","host","USB","72","URB_INTERRUPT in"
"34","28.304770","2.4.1","host","USB","72","URB_INTERRUPT in"
"35","28.512770","2.4.1","host","USB","72","URB_INTERRUPT in"
"36","28.576806","2.4.1","host","USB","72","URB_INTERRUPT in"
"37","32.168927","2.4.1","host","USB","72","URB_INTERRUPT in"
"38","32.368957","2.4.1","host","USB","72","URB_INTERRUPT in"
"39","34.833039","2.4.1","host","USB","72","URB_INTERRUPT in"
"40","35.241020","2.4.1","host","USB","72","URB_INTERRUPT in"
"41","35.440990","2.4.1","host","USB","72","URB_INTERRUPT in"
"42","35.529058","2.4.1","host","USB","72","URB_INTERRUPT in"
"43","38.105076","2.4.1","host","USB","72","URB_INTERRUPT in"
"44","38.289164","2.4.1","host","USB","72","URB_INTERRUPT in"
"45","39.033223","2.4.1","host","USB","72","URB_INTERRUPT in"
"46","39.233102","2.4.1","host","USB","72","URB_INTERRUPT in"
"47","40.633211","2.4.1","host","USB","72","URB_INTERRUPT in"
"48","40.857248","2.4.1","host","USB","72","URB_INTERRUPT in"
"49","41.937175","2.4.1","host","USB","72","URB_INTERRUPT in"
"50","42.121280","2.4.1","host","USB","72","URB_INTERRUPT in"
"51","44.105343","2.4.1","host","USB","72","URB_INTERRUPT in"
"52","44.257346","2.4.1","host","USB","72","URB_INTERRUPT in"
"53","44.457309","2.4.1","host","USB","72","URB_INTERRUPT in"
"54","44.713353","2.4.1","host","USB","72","URB_INTERRUPT in"
"55","47.113391","2.4.1","host","USB","72","URB_INTERRUPT in"
"56","47.297400","2.4.1","host","USB","72","URB_INTERRUPT in"
"57","50.225441","2.4.1","host","USB","72","URB_INTERRUPT in"
"58","50.465542","2.4.1","host","USB","72","URB_INTERRUPT in"
"59","50.681505","2.4.1","host","USB","72","URB_INTERRUPT in"
"60","53.337634","2.4.1","host","USB","72","URB_INTERRUPT in"
"61","53.585646","2.4.1","host","USB","72","URB_INTERRUPT in"
"62","53.785601","2.4.1","host","USB","72","URB_INTERRUPT in"
"63","53.825598","2.4.1","host","USB","72","URB_INTERRUPT in"
