"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","2.4.0","USB","64","GET DESCRIPTOR Request DEVICE"
"2","0.000484","2.4.0","host","USB","82","GET DESCRIPTOR Response DEVICE"
"3","0.000508","host","2.4.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000850","2.4.0","host","USB","73","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000913","host","2.4.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"6","0.001982","2.4.0","host","USB","123","GET DESCRIPTOR Response CONFIGURATION"
"7","0.002096","host","2.2.0","USBHUB","64","GET_STATUS Request     [Port 4]"
"8","0.002224","2.2.0","host","USBHUB","68","GET_STATUS Response    [Port 4]"
"9","0.002250","host","2.2.0","USBHUB","64","CLEAR_FEATURE Request  [Port 4: PORT_SUSPEND]"
"10","0.002349","2.2.0","host","USBHUB","64","CLEAR_FEATURE Response [Port 4: PORT_SUSPEND]"
"11","0.046757","host","2.2.0","USBHUB","64","GET_STATUS Request     [Port 4]"
"12","0.046858","2.2.0","host","USBHUB","68","GET_STATUS Response    [Port 4]"
"13","0.046902","host","2.2.0","USBHUB","64","CLEAR_FEATURE Request  [Port 4: C_PORT_SUSPEND]"
"14","0.046974","2.2.0","host","USBHUB","64","CLEAR_FEATURE Response [Port 4: C_PORT_SUSPEND]"
"15","0.070797","host","2.3.0","USB","64","GET STATUS Request"
"16","0.071063","2.3.0","host","USB","66","GET STATUS Response"
"17","0.071143","host","2.3.0","USB","64","GET DESCRIPTOR Request DEVICE"
"18","0.074460","2.3.0","host","USB","82","GET DESCRIPTOR Response DEVICE"
"19","0.074567","host","2.3.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"20","0.080172","2.3.0","host","USB","73","GET DESCRIPTOR Response CONFIGURATION"
"21","0.080277","host","2.3.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"22","0.189807","2.3.0","host","USB","1066","GET DESCRIPTOR Response CONFIGURATION"
"23","0.190022","host","2.2.0","USB","64","GET DESCRIPTOR Request DEVICE"
"24","0.190125","2.2.0","host","USB","82","GET DESCRIPTOR Response DEVICE"
"25","0.190171","host","2.2.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"26","0.190254","2.2.0","host","USB","73","GET DESCRIPTOR Response CONFIGURATION"
"27","0.190287","host","2.2.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"28","0.190406","2.2.0","host","USB","89","GET DESCRIPTOR Response CONFIGURATION"
"29","0.190503","host","2.1.0","USB","64","GET DESCRIPTOR Request DEVICE"
"30","0.190531","2.1.0","host","USB","82","GET DESCRIPTOR Response DEVICE"
"31","0.190556","host","2.1.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"32","0.190572","2.1.0","host","USB","73","GET DESCRIPTOR Response CONFIGURATION"
"33","0.190591","host","2.1.0","USB","64","GET DESCRIPTOR Request CONFIGURATION"
"34","0.190605","2.1.0","host","USB","89","GET DESCRIPTOR Response CONFIGURATION"
"35","2.688273","host","2.2.0","USBHUB","64","SET_FEATURE Request    [Port 4: PORT_SUSPEND]"
"36","2.688446","2.2.0","host","USBHUB","64","SET_FEATURE Response   [Port 4: PORT_SUSPEND]"
"37","6.478072","2.4.1","host","USB","72","URB_INTERRUPT in"
"38","6.478149","host","2.4.1","USB","64","URB_INTERRUPT in"
"39","6.757969","2.4.1","host","USB","72","URB_INTERRUPT in"
"40","6.758021","host","2.4.1","USB","64","URB_INTERRUPT in"
"41","8.486094","2.4.1","host","USB","72","URB_INTERRUPT in"
"42","8.486175","host","2.4.1","USB","64","URB_INTERRUPT in"
